ra,dec,u,g,r,i,z,y,time
60.2294718,-36.7025173,29.886,28.4803,27.7539,26.632,26.2713,26.1122,1.05
59.7436692,-37.0938305,23.0178,21.5335,21.2877,21.6325,21.9898,22.3688,1.05
60.2103246,-37.0140844,22.2257,22.0702,22.3564,22.8302,23.077,23.3993,1.05
59.6265962,-36.452971,32.3015,29.2334,27.3109,26.1705,26.2246,25.7764,1.05
59.2962075,-36.9316874,23.1178,21.7534,21.5857,21.9416,22.2926,22.7107,1.05
60.1124159,-36.6616741,27.7648,26.2848,25.1901,24.5917,24.6146,24.6919,1.05
59.7288694,-36.6912823,27.4667,26.073,23.872,23.2027,23.2669,22.9716,1.05
59.5252768,-36.6754221,23.9738,23.3389,23.4094,23.6694,23.8864,24.1545,1.05
60.1423586,-36.9125739,27.6228,26.1073,24.9959,24.0729,24.0538,23.5837,1.05
59.973966,-36.3910866,35.6312,32.6954,29.5762,27.8246,26.781,25.8412,1.05
59.3477705,-36.7143011,35.5738,32.6501,29.5257,27.7826,26.7295,25.8004,1.05
60.0090263,-36.8188854,35.5759,32.6515,29.5274,27.784,26.7312,25.8018,1.05
60.1655836,-36.6394837,23.77,22.8064,22.5222,22.6392,22.9156,23.2242,1.05
60.0828708,-37.1989783,29.2712,26.9331,25.4026,25.2464,25.7028,25.8686,1.05
59.2022277,-36.633258,29.2809,27.6516,25.602,24.3956,24.4597,24.085,1.05
59.4900987,-36.6688725,29.1275,26.8401,24.9067,24.1153,24.3836,24.2683,1.05
59.6318676,-36.7751859,33.4831,31.5623,29.771,28.3528,27.5321,27.064,1.05
59.8799618,-36.6140116,28.2489,26.6591,25.6387,24.5642,24.5635,24.1264,1.05
59.5976678,-36.4575381,24.5125,22.5086,21.4153,21.2851,21.4176,21.5744,1.05
59.6482848,-37.2664713,25.3403,23.5557,22.5873,23.0431,23.4471,24.0514,1.05
